,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
IP6K1,1.167201005,0.067145653,4.076894047,0.001534535,,,,,,,,,,,,,,,
APC,1.036548482,0.01558962,0.550586924,0.592019221,,,,,,,,,,,,,,,
CFAP58,0.834463848,-0.078592474,-1.83518771,0.091372277,,,,,,,,,,,,,,,
IPO4,0.844695623,-0.073299756,-2.039156576,0.064086048,,,,,,,,,,,,,,,
KDSR,1.057628297,0.024333062,1.214876202,0.247777497,,,,,,,,,,,,,,,
MOB4,0.981119215,-0.008278219,0.047029052,0.963263695,,,,,,,,,,,,,,,
TMEM98,0.731334842,-0.135883736,-3.825493644,0.002415256,,,,,,,,,,,,,,,
GATAD2A,1.192758062,0.076552361,1.759857636,0.103874561,,,,,,,,,,,,,,,
RBM4B,1.07171431,0.030079029,0.851527203,0.411147862,,,,,,,,,,,,,,,
C11orf96,1.019119007,0.008224902,0.286526455,0.779361765,,,,,,,,,,,,,,,
SAV1,1.119547867,0.049042667,1.275434416,0.22629384,,,,,,,,,,,,,,,
GSTM1,0.374354714,-0.426716694,-2.786998843,0.016435747,,,,,,,,,,,,,,,
SLC37A4,0.572533819,-0.242198855,-2.618329712,0.022453996,,,,,,,,,,,,,,,
IFIH1,0.829393628,-0.081239306,-2.170568682,0.050743237,,,,,,,,,,,,,,,
MFN2,1.12930781,0.052812332,2.187040967,0.049268467,,,,,,,,,,,,,,,
CEP43,1.132165605,0.053909957,0.912220212,0.379614465,,,,,,,,,,,,,,,
RGL1,1.430594074,0.155516422,2.250783199,0.043935119,,,,,,,,,,,,,,,
ZNF806,1.156526883,0.063155732,1.302173993,0.217296672,,,,,,,,,,,,,,,
ITPA,0.834908495,-0.07836112,-1.74978785,0.10565738,,,,,,,,,,,,,,,
TMEM63A,0.898762975,-0.046354827,-1.280493258,0.224569003,,,,,,,,,,,,,,,
FGL1,0.990743172,-0.004038912,-0.657414527,0.523324524,,,,,,,,,,,,,,,
ACTMAP,0.402953846,-0.394744695,-2.621441217,0.022325479,,,,,,,,,,,,,,,
MED15,0.817700886,-0.087405531,-3.173732648,0.008013895,,,,,,,,,,,,,,,
GPATCH11,0.912186965,-0.039916138,-4.023002607,0.001690314,,,,,,,,,,,,,,,
C2orf49,1.074908523,0.031371506,2.412352237,0.032771787,,,,,,,,,,,,,,,
